

0,0, @#&amp GHGHGHGHGHGHGH, sdjbgdjbgjdksbgkjdsbg,tantissimissimo
1,0, @#&amp GHGHGHGHGHGHGH, sdjbgdjbgjdksbgkjdsbg,tantissimissimo
2,1, @#&amp PROVA, pppp,2222
3,0, @#&amp GHGHGHGHGHGHGH, sdjbgdjbgjdksbgkjdsbg,tantissimissimo
4,1, @#&amp PROVA, pppp,2222
5,0, @#&amp GHGHGHGHGHGHGH, sdjbgdjbgjdksbgkjdsbg,tantissimissimo
6,1, @#&amp PROVA, pppp,2222
7,0, @#&amp GHGHGHGHGHGHGH, sdjbgdjbgjdksbgkjdsbg,tantissimissimo
8,3, @#&amp GHGHGHGHGHGHGH, sdjbgdjbgjdksbgkjdsbg,tantissimissimo
9,3, @#&amp PROVA, pppp,2222
10,3, @#&amp GHGHGHGHGHGHGH, sdjbgdjbgjdksbgkjdsbg,tantissimissimo
11,4,altro,min,max
12,5,sottostante,min,max
13,5,microfono,min,max
14,1,megafanon,min,max
15,6,tibalenatolo,min,max
16,6,cuor di leone indegno,min,max
17,7,farfalla maestosa,min,max
